Metric,Definition
Admissions,"The sum of inpatients accounts by admit date, excludes well newborns defined by Strata service line 4: 70-125 Sick Newborns In-born, 70-130 Sick Newborns Out-born, 70-135 Newborns"
Admissions - ED,"The sum of inpatients accounts by admit date who received an emergency base level charge, excludes well newborns defined by Strata service line 4: 70-125 Sick Newborns In-born, 70-130 Sick Newborns Out-born, 70-135 Newborns."
Admissions - Newborns,"The sum of inpatients accounts by admit date who are well newborns defined by Strata service line 4: 70-125 Sick Newborns In-born, 70-130 Sick Newborns Out-born, 70-135 Newborns."
Admissions % IP through ED ,Admission due to an emergency visit. The calculation is admission - ED divided by admissions.
Trauma Cases - Inpatient,"The sum of inpatients Trauma accounts by admit date. Trauma accounts are defined as patients who either have an admit type of Trauma, patient type of Trauma, or were charged a Trauma activation charge."
Trauma Cases - Outpatient,"The sum of outpatients Trauma accounts by discharge date. Trauma accounts are defined as patients who either have an admit type of Trauma, patient type of Trauma, or were charged a Trauma activation charge."
Observation Cases - Inpatient,The sum of inpatients accounts who were charge UB revenue code 0762 (observation) by discharge date. 
Observation Cases - Outpatient,The sum of outpatients accounts who were charge UB revenue code 0762 (observation) by discharge date. 
Observation Rate,The sum of observation case divided by the sum of observation case and admissions.
Outpatient Visits - Other,"The sum of outpatients visits (count of dates of service), who were not charged Emergency or Surgical services, based on discharge date."
CMI,"Case Mix Index is defined by CMS as a metric that defines diversity, complexity, and severity of inpatients. The average of MS DRG weights.  Well newborns are excluded as defined by Strata service line 4: 70-125 Sick Newborns In-born, 70-130 Sick Newborns Out-born, 70-135 Newborns"
Deliveries,The sum of inpatients accounts who were charged a delivery charge code by postdate date. 
NICU Cases,The sum of inpatients accounts who received NICU services by discharge date. 
Adjusted Discharges,"The sum of inpatients accounts  adjusted to include outpatient activity by discharge date. Adjustment factor is GL gross patient charges divided by gross inpatent charges. Excludes well newborns defined by Strata service line 4: 70-125 Sick Newborns In-born, 70-130 Sick Newborns Out-born, 70-135 Newborns"
Adjusted Patient Days,"The sum of inpatients patient days adjusted to include outpatient activity  by discharge date. Adjustment factor is GL gross patient charges divided by gross inpatent charges. Excludes well newborns defined by Strata service line 4: 70-125 Sick Newborns In-born, 70-130 Sick Newborns Out-born, 70-135 Newborns"
PN Encounters,The sum of PN patients or Epic Contact Serial Number (CSN) filtered to PN patients with a appointment type of completed or arrived based on contract date.
Beds - Available,The number of staffed beds.
Beds - Licensed,The number of licensed beds.
Beds - Utilization of Available,The utilization percentage calculated as available beds divided by licensed beds.
